title,location,postedOn,url
"Senior Solutions Architect, Cloud Infrastructure and DevOps - NVIS","Canada, Remote",Posted 2 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Canada-Remote/Senior-Solutions-Architect--Cloud-Infrastructure-and-DevOps---NVIS_JR1989859
"Senior Solutions Architect, Infiniband and Ethernet Networking - NVIS","Canada, Remote",Posted 2 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Canada-Remote/Senior-Solutions-Architect--Infiniband-and-Ethernet-Networking---NVIS_JR1989855
Senior Software Technical Program Manager - Compute Software Technologies,"US, CA, Santa Clara",Posted 2 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-Software-Technical-Program-Manager---Compute-Software-Technologies_JR1989053
"Senior Systems Software Engineer, Containers and Kubernetes",2 Locations,Posted 2 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-Systems-Software-Engineer--Containers-and-Kubernetes_JR1987060
Senior Cloud Platform Software Engineer,2 Locations,Posted 2 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-Cloud-Platform-Software-Engineer_JR1970540
Senior Physical Design Engineer,2 Locations,Posted 2 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-MA-Westford/Senior-Physical-Design-Engineer_JR1986458
"Senior Software Engineer, Bare Metal Automation - DGX Cloud",5 Locations,Posted 2 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-Software-Engineer--Bare-Metal-Automation---DGX-Cloud_JR1990027
"Senior Software Engineer, Kubernetes - DGX Cloud",3 Locations,Posted 2 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-Software-Engineer--Kubernetes---DGX-Cloud_JR1989230-1
Senior ASIC Verification Engineer,"China, Shanghai",Posted 2 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/China-Shanghai/Senior-ASIC-Verification-Engineer_JR1988096
"Senior Library Acceleration Engineer, RAPIDS",6 Locations,Posted 3 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-NY-Remote/Senior-Library-Acceleration-Engineer--RAPIDS_JR1990232
Security Firmware Engineer – Data Center Systems,2 Locations,Posted 3 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Security-Firmware-Engineer---Data-Center-Systems_JR1989402
"Senior Platform Software Engineer, AI Server - GPU",2 Locations,Posted 3 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-Platform-Software-Engineer--AI-Server---GPU_JR1980965
"Senior AI and ML Infra Engineer, Research Clusters",5 Locations,Posted 3 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-AI-and-ML-Infra-Engineer--Research-Clusters_JR1982920-1
Principal Infrastructure SRE - Storage,"US, CA, Santa Clara",Posted 3 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Principal-Infrastructure-SRE_JR1990041-1
Senior Product Manager - Go-to-market Team,"US, CA, Santa Clara",Posted 3 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-Product-Manager---Go-to-market-Team_JR1982874
"Senior AI Software Engineer, GenAI Framework",6 Locations,Posted 3 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-AI-Software-Engineer--GenAI-Framework_JR1986203
Senior Software Engineer - DGX Cloud,4 Locations,Posted 3 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-Software-Engineer---DGX-Cloud_JR1986846
Principal Infrastructure SRE - Compute,2 Locations,Posted 3 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Principal-Infrastructure-SRE---Compute-Service_JR1982392-1
"Research Scientist, Fundamental Generative AI - New College Grad 2025","US, CA, Santa Clara",Posted 3 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Research-Scientist--Fundamental-Generative-AI---New-College-Grad-2025_JR1990295
Senior Analog Layout Engineering - Networking,2 Locations,Posted 3 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Belgium-Remote/Senior-Analog-Layout-Engineering---Networking_JR1988383
Automotive DriveOS Software Architect,"Canada, Remote",Posted 3 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Canada-Remote/Automotive-DriveOS-Software-Architect_JR1990392
ASIC Verification Engineer - New College Grad 2025,"US, CA, Santa Clara",Posted 3 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/ASIC-Verification-Engineer---New-College-Grad-2025_JR1990180
Site Reliability Engineer - GPU Cloud,"India, Bengaluru",Posted 2 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/India-Bengaluru/Site-Reliability-Engineer---GPU-Cloud_JR1988791
Senior Site Reliability Engineer - GPU Cloud,"India, Bengaluru",Posted 2 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/India-Bengaluru/Senior-Site-Reliability-Engineer---GPU-Cloud_JR1988781
ASIC Design Efficiency Engineer - New College Grad 2025,"US, CA, Santa Clara",Posted 3 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/ASIC-Design-Efficiency-Engineer---New-College-Grad-2025_JR1990204-1
"Senior Systems Software Engineer, Containers and Kubernetes",2 Locations,Posted 3 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-Systems-Software-Engineer--Containers-and-Kubernetes_JR1988923
Software Security Engineer,"Israel, Yokneam",Posted 3 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Israel-Yokneam/Software-Security-Engineer_JR1990417
Senior Chip Design Engineer,"Israel, Yokneam",Posted 3 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Israel-Yokneam/Senior-Chip-Design-Engineer_JR1990422
"Senior Physical Design Methodology Engineer, PPA Improvement Technology Scaling",2 Locations,Posted 3 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-Physical-Design-Methodology-Engineer--PPA-Improvement-Technology-Scaling_JR1990212-1
"Senior Technical Program Manager, BioNeMo","US, CA, Santa Clara",Posted 3 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-Technical-Program-Manager--BioNeMo_JR1989974
"Product Management Intern, RTX AI Workstation - Summer 2025","US, CA, Santa Clara",Posted 3 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Product-Management-Intern--RTX-AI-Workstation---Summer-2025_JR1990372
"Product Marketing Intern, Data Centers - Summer 2025","US, CA, Santa Clara",Posted 3 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Product-Marketing-Intern--Data-Centers---Summer-2025_JR1990373
