title,location,postedOn,url
"Creative Director, Global Events","US, CA, Santa Clara",Posted 4 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Creative-Director--Global-Events_JR1989770
"Technical Editor, Developer Programs","US, CA, Santa Clara",Posted 4 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Technical-Editor--Developer-Programs_JR1989866
Senior Reliability Product Engineer,"Israel, Yokneam",Posted 4 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Israel-Yokneam/Senior-Reliability-Product-Engineer_JR1989395
Senior Physical Design Backend Engineer,2 Locations,Posted 4 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Israel-Tel-Aviv/Senior-Physical-Design-Backend-Engineer_JR1990252
Deep Learning Inference Software Intern - 2025,"China, Shanghai",Posted 3 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/China-Shanghai/Deep-Learning-Inference-Software-Intern---2025_JR1989717
Senior Software Test Development Engineer - Nemo LLM,"China, Shanghai",Posted 3 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/China-Shanghai/Senior-Software-Test-Development-Engineer---Nemo-LLM_JR1990256
Computer Architecture Intern - 2025,2 Locations,Posted 3 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/China-Shanghai/Computer-Architecture-Intern---2025_JR1989718
Compute Architect Intern - 2025,4 Locations,Posted 3 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/China-Shanghai/Compute-Architect-Intern---2025_JR1989716
Silicon Validation - Reliability Engineer,"Taiwan, Taipei",Posted 3 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Taiwan-Taipei/Silicon-Validation---Reliability-Engineer_JR1990138
Software Engineering Intern - Autonomous Vehicles,"China, Shanghai",Posted 3 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/China-Shanghai/Software-Engineering-Intern---Autonomous-Vehicles_JR1990147
Learning and Development Specialist,2 Locations,Posted 3 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/China-Shanghai/Learning-and-Development-Specialist_JR1989975
Silicon Circuit Characterization Engineer,"China, Shanghai",Posted 3 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/China-Shanghai/Silicon-Circuit-Characterization-Engineer_JR1990002
System Performance and Power Engineer,"China, Shanghai",Posted 3 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/China-Shanghai/System-Performance-and-Power-Engineer_JR1990001
Web Application Software Engineer,"China, Shanghai",Posted 3 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/China-Shanghai/Web-Application-Software-Engineer_JR1990011
Software Engineering Intern - Autonomous Vehicles,"China, Shenzhen",Posted 3 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/China-Shenzhen/Software-Engineering-Intern---Autonomous-Vehicles_JR1990146
"PhD Research Intern, Design Automation - 2025",3 Locations,Posted 3 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/China-Beijing/PhD-Research-Intern--Design-Automation---2025_JR1989879
Senior Software Test Development Engineer – Spark Rapids,"China, Shanghai",Posted 3 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/China-Shanghai/Senior-Software-Test-Development-Engineer---Spark-Rapids_JR1990259
"Senior Manager, Project Management - Chip Design","Israel, Tel Aviv",Posted 4 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Israel-Tel-Aviv/Senior-Manager--Project-Management---Chip-Design_JR1990365
"Applied LLM Engineer, AI and Chip Design - New College Grad 2025","US, CA, Santa Clara",Posted 4 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Applied-LLM-Engineer--AI-and-Chip-Design---New-College-Grad-2025_JR1990205-1
Senior Software Security Compiler Engineer,7 Locations,Posted 4 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-Software-Security-Compiler-Engineer_JR1990366
Senior Mixed-Signal Design Engineer,"US, CA, Santa Clara",Posted 4 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-Mixed-Signal-Design-Engineer_JR1988743
Graphics Tools Software Engineer Intern,"China, Shanghai",Posted 3 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/China-Shanghai/Graphics-Tools-Software-Engineer-Intern_JR1989173
Senior Firmware Engineer - InfiniBand Switching,"US, CA, Santa Clara",Posted 4 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-Firmware-Engineer---InfiniBand-Switching_JR1984986
"Research Engineer, Architecture - New College Grad 2025",3 Locations,Posted 4 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-MA-Westford/Research-Engineer--Architecture---New-College-Grad-2025_JR1989127
"Engineering Manager, Core Platform Software - Autonomous Vehicles","US, CA, Santa Clara",Posted 4 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Engineering-Manager--Core-Platform-Software---Autonomous-Vehicles_JR1990189
"Principal Solution Engineer, Large Scale ML Profiling Services","US, CA, Santa Clara",Posted 4 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Principal-Solution-Engineer--Large-Scale-ML-Profiling-Services_JR1990275
"Senior Deep Learning Software Engineer, PyTorch","US, CA, Santa Clara",Posted 4 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-Deep-Learning-Software-Engineer--PyTorch_JR1985557
Senior HPC Architect,3 Locations,Posted 4 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-HPC-Architect_JR1986311
Senior Memory Controller Verification Engineer,"US, CA, Santa Clara",Posted 4 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-Memory-Controller-Verification-Engineer_JR1979522
Senior Software Engineer - Networking,"Israel, Yokneam",Posted 4 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Israel-Yokneam/Senior-Software-Engineer---Networking--SAI_JR1988614-1
"Senior System Software Engineer, Performance - CUDA Driver","US, CA, Santa Clara",Posted 4 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-System-Software-Engineer---CUDA-Driver_JR1966711
Senior System Software Engineer - GPU and SOC,"Taiwan, Taipei",Posted 4 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Taiwan-Taipei/System-Software-Engineer---GPU-and-SOC_JR1988550
Developer Relations Manager,5 Locations,Posted 4 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/India-Bengaluru/Developer-Relations-Manager_JR1988546
Environmental Test Engineer,"Israel, Yokneam",Posted 4 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Israel-Yokneam/Environmental-Test-Engineer_JR1987874
Senior Electro-Optical Systems Engineer,"Israel, Yokneam",Posted 4 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Israel-Yokneam/Senior-Electro-Optical-Systems-Engineer_JR1987652
NVIS Logistics Project Manager,"US, CA, Santa Clara",Posted 4 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/NVIS-Logistics-Project-Manager_JR1990233
Senior Field Applications Engineer - NVIS,"US, CA, Santa Clara",Posted 4 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-Field-Applications-Engineer---NVIS_JR1990281
"Senior Software Engineer, Infrastructure, Build, and Packaging - RAPIDS",6 Locations,Posted 5 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Remote/Senior-Software-Engineer--Infrastructure--Build--and-Packaging---RAPIDS_JR1990227
Tegra System Software Engineer,3 Locations,Posted 5 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Tegra-System-Software-Engineer_JR1990224
Senior Systems Software Engineer,"US, OR, Hillsboro",Posted 5 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-OR-Hillsboro/Senior-Systems-Software-Engineer_JR1990393
Senior Systems Software Engineer,"US, OR, Hillsboro",Posted 5 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-OR-Hillsboro/Senior-Systems-Software-Engineer_JR1990391
Senior Software Engineer - Data Center Rack and Power Management Engineering,2 Locations,Posted 5 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-Software-Engineer---Data-Center-Rack-and-Power-Management-Engineering_JR1990015
"Research Scientist, Computer Vision Perception and Rendering - New College Grad 2025","US, CA, Santa Clara",Posted 5 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Research-Scientist--Computer-Vision-and-Deep-Learning---New-College-Grad-2025_JR1990287
Senior HPC Technical Support Engineer – Ethernet,4 Locations,Posted 5 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-MA-Westford/Senior-HPC-Technical-Support-Engineer---Ethernet_JR1990276
"ASIC Design Engineer, System-ASIC","US, CA, Santa Clara",Posted 5 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/ASIC-Design-Engineer--System-ASIC_JR1976742
Senior Technical Marketing Engineer,2 Locations,Posted 5 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-Technical-Marketing-Engineer_JR1990214
"Senior GPU Architect, Profiling System","US, CA, Santa Clara",Posted 5 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-GPU-Architect--Profiling-System_JR1984863
"System Software Engineer, Python and C/C++ - Deep Learning",2 Locations,Posted 5 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Poland-Remote/System-Software-Engineer--Python-and-C-C-----Deep-Learning_JR1989733
Inside Sales Account Manager,"Germany, Munich",Posted 5 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Germany-Munich/Inside-Sales-Account-Manager_JR1989541
Software Engineering Manager - Data Processing Libraries,6 Locations,Posted 5 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Poland-Warsaw/Software-Engineering-Manager---Data-Processing-Libraries_JR1989267
Senior Field Application Engineer,2 Locations,Posted 5 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-Field-Application-Engineer_JR1990197
Senior ATE Test Development Engineer,2 Locations,Posted 5 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-TX-Austin/Senior-ATE-Test-Development-Engineer_JR1989802
Senior Revenue Data Analyst,"US, CA, Santa Clara",Posted 5 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-Revenue-Data-Analyst_JR1988416
"Senior Software Engineer, LLM",5 Locations,Posted 5 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-Software-Engineer--LLM_JR1990200
Verification Engineer - Memory Subsystem,"India, Bengaluru",Posted 5 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/India-Bengaluru/Verification-Engineer---Memory-Subsystem_JR1990029-1
Formal Verification Engineer,"Israel, Yokneam",Posted 5 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Israel-Yokneam/Formal-Verification-Engineer_JR1987671
"ASIC Verification Engineer, GPU - New College Grad 2025",3 Locations,Posted 5 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/ASIC-Verification-Engineer--GPU---New-College-Grad-2025_JR1990169
Senior Architect - GPU Modelling,"India, Hyderabad",Posted 5 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/India-Hyderabad/Senior-Architect---GPU-Modelling_JR1980929
Senior ASIC Verification Engineer,"US, TX, Austin",Posted 5 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-TX-Austin/ASIC-Verification-Engineer_JR1975576
"Software Engineer, DOCA",2 Locations,Posted 5 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Israel-Beer-Sheva/Software-Engineer--DOCA_JR1988104
Senior Software Engineer - RDMA and Doca,"China, Beijing",Posted 5 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/China-Beijing/Senior-Software-Engineer---RDMA-and-Doca_JR1985046
"Manager, Product Management and Configuration",2 Locations,Posted 5 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Israel-Tel-Aviv/Manager--Product-Management-and-Configuration_JR1989531-1
Senior Hardware Architect,"Israel, Tel Aviv",Posted 5 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Israel-Tel-Aviv/Senior-Hardware-Architect_JR1990271
"Senior System Networking Engineer, InfiniBand","Israel, Yokneam",Posted 5 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Israel-Yokneam/Senior-Networking-Engineer--Next-Generation-InfiniBand_JR1989918
Senior Firmware Developer and Supporter,"US, CA, Santa Clara",Posted 5 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-Firmware-Developer-and-Supporter_JR1990021
"Senior ASIC Engineer, High-speed and Lasers Post-silicon Verification","Israel, Yokneam",Posted 5 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Israel-Yokneam/Senior-ASIC-Engineer--High-speed-and-Lasers-Post-silicon-Verification_JR1983993
Software Intern - Autonomous Vehicles,2 Locations,Posted 5 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/China-Shenzhen/Software-Intern---Autonomous-Vehicles_JR1978798
"DFT Engineer, ATPG",3 Locations,Posted 5 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Israel-Tel-Aviv/DFT-Engineer--ATPG_JR1981158
"Senior Manager, Software - Hypervisor and RTOS Team","US, CA, Santa Clara",Posted 5 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-Manager--Software---Hypervisor-and-RTOS-Team_JR1990216
"AI Computing Software Engineering Intern, TensorRT",2 Locations,Posted 5 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Taiwan-Taipei/AI-Computing-Software-Engineering-Intern--TensorRT_JR1989721
Senior System Software Engineer - Power and Performance,5 Locations,Posted 5 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-System-Software-Engineer---Power-and-Performance_JR1990288
Software Tools Automation Engineer,"US, CA, Santa Clara",Posted 5 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Software-Tools-Automation-Engineer_JR1990149
Software QA Test Developer - Automotive,2 Locations,Posted 5 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/India-Hyderabad/Software-QA-Test-Developer---Automotive_JR1989899
"System SW, Engineering Manager",2 Locations,Posted 5 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/India-Hyderabad/System-SW--Engineering-Manager_JR1990140-1
Architecture Energy Modeling Engineer,"China, Shanghai",Posted 5 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/China-Shanghai/Architecture-Energy-Modeling-Engineer_JR1985584-1
Data System Analyst,"Taiwan, Hsinchu",Posted 5 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Taiwan-Hsinchu/Data-System-Analyst_JR1982543
Senior Cloud Infrastructure Development Engineer,3 Locations,Posted 5 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-Cloud-Infrastructure-Development-Engineer_JR1988704
Senior DevOps Engineer,"US, CA, Santa Clara",Posted 5 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-DevOps-Engineer_JR1988710-1
"Director, Software Engineering - NIM Factory","US, CA, Santa Clara",Posted 6 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Director--Software-Engineering---NIM-Factory_JR1988731
"Senior System Software Engineer, CUDA Driver for Windows",3 Locations,Posted 6 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-Software-Engineer--Distributed-Task-based-Runtimes_JR1980522
Simulation Architect - Autonomous Vehicles Platform,"US, CA, Santa Clara",Posted 6 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Simulation-Architect---Autonomous-Vehicles-Platform_JR1985030
"Senior Systems Software Engineer, CUDA Driver",6 Locations,Posted 6 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-Systems-Software-Engineer--CUDA-Driver_JR1988813
Senior Datacenter Systems Engineer,2 Locations,Posted 6 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-Datacenter-Systems-Engineer_JR1990242
Senior Account Manager - State and Local Government,3 Locations,Posted 6 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Remote/Senior-Account-Manager---State-and-Local-Government_JR1988679
Senior Technical Program Manager - Datacenter Compute Server Accelerators,2 Locations,Posted 6 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-Software-Program-Manager---Datacenter-Compute-Server-Accelerators_JR1988403
Senior System Software Engineer - Cloud Infrastructure,2 Locations,Posted 6 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Poland-Remote/Senior-System-Software-Engineer---Cloud-Infrastructure_JR1989789-1
Senior Site Reliability Engineer - AI Research Clusters,5 Locations,Posted 6 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-Site-Reliability-Engineer---Internal-AI-Research-Clusters_JR1987539
"Research Scientist, Efficient Deep Learning - New College Grad 2025","US, CA, Santa Clara",Posted 6 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Research-Scientist--Efficient-Deep-Learning---New-College-Grad-2025_JR1990047
"Senior Solutions Architect, Global Partner Team","US, CA, Santa Clara",Posted 6 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-Solutions-Architect--Global-Partner-Team_JR1990221
"Research Scientist, Digital Humans - New College Grad 2025","US, CA, Santa Clara",Posted 6 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Research-Scientist--Digital-Humans---New-College-Grad-2025_JR1990211
"Senior Solutions Architect, Global Partner Team","US, CA, Santa Clara",Posted 6 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-Solutions-Architect--Global-Partner-Team_JR1990222
"Senior Software Architect, AI and HPC",5 Locations,Posted 6 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-Software-Architect--AI-and-HPC_JR1976616-1
Senior ASIC Front End Infrastructure Engineer,3 Locations,Posted 6 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-ASIC-Front-End-Infrastructure-Engineer_JR1965423
Senior ASIC Verification Engineer - GPU,2 Locations,Posted 6 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-ASIC-Verification-Engineer---GPU_JR1961386-1
"Senior System Software Engineer, Scalable ML Profiling Services","US, CA, Santa Clara",Posted 6 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-System-Software-Engineer--Scalable-ML-Profiling-Services_JR1990217
Senior Drug Discovery AI Applied Scientist,4 Locations,Posted 6 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-Drug-Discovery-AI-Applied-Scientist_JR1990124
"Research Scientist, Design Automation - New College Grad 2025",2 Locations,Posted 6 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-TX-Austin/Research-Scientist--Design-Automation---New-College-Grad-2025_JR1989394-1
"Senior Solution Architect, HPC and AI - NVIS","Canada, Remote",Posted 6 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Canada-Remote/Senior-Solution-Architect--HPC-and-AI---NVIS_JR1989211
Product Quality Engineer,"US, CA, Santa Clara",Posted 6 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Product-Quality-Engineer_JR1990128
Senior PCBA Factory Quality Engineer,"US, CA, Santa Clara",Posted 6 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-PCBA-Factory-Quality-Engineer_JR1989627-1
Channel Software Sales Specialist,"US, CA, Santa Clara",Posted 6 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Channel-Software-Sales-Specialist_JR1989548
Channel Software Sales Specialist,2 Locations,Posted 6 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Channel-Software-Sales-Specialist_JR1989551
Senior Account Manager - BioPharma,4 Locations,Posted 6 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-Account-Manager---BioPharma_JR1990101
Senior ASIC Verification Engineer,"US, CA, Santa Clara",Posted 6 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-ASIC-Verification-Engineer_JR1967118
"Senior System Software Engineer, Signing Services",2 Locations,Posted 6 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Remote/Senior-System-Software-Engineer--Signing-Services_JR1989831
Senior Developer Technology Engineer - AI,5 Locations,Posted 6 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-Developer-Technology-Engineer---AI_JR1973079-1
Senior Revenue Accountant,"US, CA, Santa Clara",Posted 6 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-Revenue-Accountant_JR1980855
C++ System Software Engineer Intern - 2025,"China, Shanghai",Posted 6 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/China-Shanghai/Graphics-C---Software-Engineer-Intern_JR1989316
Web Application Software Engineering Intern - 2025,"China, Shanghai",Posted 6 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/China-Shanghai/Web-Application-Software-Engineering-Intern_JR1989317
Machine Learning(LLM) Infrastructure System Software Engineer Intern - 2025,"China, Shanghai",Posted 6 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/China-Shanghai/Machine-Learning--Platform-Software-Engineer-Intern_JR1989318
Socket Board Engineer,"Hong Kong, STP",Posted 6 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Hong-Kong-STP/Socket-Board-Engineer_JR1990152
Web Software Engineer Intern - 2025,2 Locations,Posted 6 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/China-Shanghai/Web-Software-Engineer-Intern---2025_JR1989898
ASIC TOP Floorplan Intern - 2025,"China, Shanghai",Posted 6 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/China-Shanghai/ASIC-TOP-Floorplan-Intern---2025_JR1990061
Drive SDK Engineer Intern - Autonomous Driving,"China, Shenzhen",Posted 6 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/China-Shenzhen/Drive-SDK-Engineer-Intern---Autonomous-Driving_JR1989529
Dense Reconstruction Intern - 2025,"China, Shanghai",Posted 6 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/China-Shanghai/Dense-Reconstruction-Intern---2025_JR1989966
